,gamma,0.1,0.9,even_bound
0.2,0.2,-0.0014772996412013,0.0014817753784821,0.0014817753784821
0.3,0.3,-0.0015135292300121,0.0015181918167446,0.0015181918167446
0.4,0.4,-0.0015716112595681,0.0015767027907411,0.0015767027907411
0.5,0.5,-0.0016588971873959,0.0016647216399306,0.0016647216399306
0.6,0.6,-0.0017903373074608,0.0017971138704561,0.0017971138704561
0.7,0.7,-0.0019974904086359,0.0020058904524194,0.0020058904524194
0.75,0.75,-0.0021509570256833,0.0021608082886579,0.0021608082886579
0.8,0.8,-0.0023630094720555,0.0023749824857759,0.0023749824857759
0.9,0.9,-0.0032205183875062,0.0032412158060892,0.0032412158060892
0.95,0.95,-0.0044671250404932,0.0044984260948818,0.0044984260948818
0.975,0.975,-0.0062557797086391,0.0062983268974174,0.0062983268974174
0.99,0.99,-0.0099097523994801,0.0099350786303651,0.0099350786303651
0.995,0.995,-0.0141752022455698,0.0141511531776561,0.0141752022455698
0.9975,0.9975,-0.0204152153786053,0.0203614196889069,0.0204152153786053
0.999,0.999,-0.0332362329678244,0.0331632467791321,0.0332362329678244
